startLon;startLat;destLon;destLat;driveMode;maxSpeed
31.89404;-25.362301;31.591958;-24.994678;3;59
31.53493;-25.460457;31.591958;-24.994678;3;60
31.53493;-25.460457;31.915333;-25.115829;3;48
31.779859;-24.389864;31.89404;-25.362301;3;46
31.482268;-24.979422;31.591958;-24.994678;3;47
31.591958;-24.994678;31.89404;-25.362301;3;65
31.591958;-24.994678;31.53493;-25.460457;3;61
31.915333;-25.115829;31.53493;-25.460457;3;45
31.89404;-25.362301;31.779859;-24.389864;3;70
31.591958;-24.994678;31.482268;-24.979422;3;56
31.89404;-25.362301;31.591958;-24.994678;3;69
31.53493;-25.460457;31.591958;-24.994678;3;60
31.53493;-25.460457;31.915333;-25.115829;3;59
31.779859;-24.389864;31.89404;-25.362301;3;65
31.482268;-24.979422;31.591958;-24.994678;3;69
31.591958;-24.994678;31.89404;-25.362301;3;67
31.591958;-24.994678;31.53493;-25.460457;3;60
31.915333;-25.115829;31.53493;-25.460457;3;57
31.89404;-25.362301;31.779859;-24.389864;3;54
31.591958;-24.994678;31.482268;-24.979422;3;64
31.89404;-25.362301;31.591958;-24.994678;3;49
31.53493;-25.460457;31.591958;-24.994678;3;58
31.53493;-25.460457;31.915333;-25.115829;3;54
31.779859;-24.389864;31.89404;-25.362301;3;68
31.482268;-24.979422;31.591958;-24.994678;3;60
31.591958;-24.994678;31.89404;-25.362301;3;68
31.591958;-24.994678;31.53493;-25.460457;3;64
31.915333;-25.115829;31.53493;-25.460457;3;57
31.89404;-25.362301;31.779859;-24.389864;3;52
31.591958;-24.994678;31.482268;-24.979422;3;64
31.89404;-25.362301;31.591958;-24.994678;3;61
31.53493;-25.460457;31.591958;-24.994678;3;45
31.53493;-25.460457;31.915333;-25.115829;3;48
31.779859;-24.389864;31.89404;-25.362301;3;57
31.482268;-24.979422;31.591958;-24.994678;3;66
31.591958;-24.994678;31.89404;-25.362301;3;62
31.591958;-24.994678;31.53493;-25.460457;3;47
31.915333;-25.115829;31.53493;-25.460457;3;57
31.89404;-25.362301;31.779859;-24.389864;3;62
31.591958;-24.994678;31.482268;-24.979422;3;57
31.89404;-25.362301;31.591958;-24.994678;3;52
31.53493;-25.460457;31.591958;-24.994678;3;54
31.53493;-25.460457;31.915333;-25.115829;3;65
31.779859;-24.389864;31.89404;-25.362301;3;60
31.482268;-24.979422;31.591958;-24.994678;3;62
31.591958;-24.994678;31.89404;-25.362301;3;68
31.591958;-24.994678;31.53493;-25.460457;3;46
31.915333;-25.115829;31.53493;-25.460457;3;61
31.89404;-25.362301;31.779859;-24.389864;3;61
31.591958;-24.994678;31.482268;-24.979422;3;62
31.89404;-25.362301;31.591958;-24.994678;3;56
31.53493;-25.460457;31.591958;-24.994678;3;45
31.53493;-25.460457;31.915333;-25.115829;3;65
31.779859;-24.389864;31.89404;-25.362301;3;49
31.482268;-24.979422;31.591958;-24.994678;3;69
31.591958;-24.994678;31.89404;-25.362301;3;61
31.591958;-24.994678;31.53493;-25.460457;3;49
31.915333;-25.115829;31.53493;-25.460457;3;67
31.89404;-25.362301;31.779859;-24.389864;3;50
31.591958;-24.994678;31.482268;-24.979422;3;46
31.89404;-25.362301;31.591958;-24.994678;3;51
31.53493;-25.460457;31.591958;-24.994678;3;56
31.53493;-25.460457;31.915333;-25.115829;3;46
31.779859;-24.389864;31.89404;-25.362301;3;70
31.482268;-24.979422;31.591958;-24.994678;3;55
31.591958;-24.994678;31.89404;-25.362301;3;64
31.591958;-24.994678;31.53493;-25.460457;3;45
31.915333;-25.115829;31.53493;-25.460457;3;57
31.89404;-25.362301;31.779859;-24.389864;3;65
31.591958;-24.994678;31.482268;-24.979422;3;58
31.89404;-25.362301;31.591958;-24.994678;3;47
31.53493;-25.460457;31.591958;-24.994678;3;56
31.53493;-25.460457;31.915333;-25.115829;3;69
31.779859;-24.389864;31.89404;-25.362301;3;55
31.482268;-24.979422;31.591958;-24.994678;3;58
31.591958;-24.994678;31.89404;-25.362301;3;55
31.591958;-24.994678;31.53493;-25.460457;3;52
31.915333;-25.115829;31.53493;-25.460457;3;56
31.89404;-25.362301;31.779859;-24.389864;3;58
31.591958;-24.994678;31.482268;-24.979422;3;51
31.89404;-25.362301;31.591958;-24.994678;3;64
31.53493;-25.460457;31.591958;-24.994678;3;51
31.53493;-25.460457;31.915333;-25.115829;3;57
31.779859;-24.389864;31.89404;-25.362301;3;67
31.482268;-24.979422;31.591958;-24.994678;3;49
31.591958;-24.994678;31.89404;-25.362301;3;47
31.591958;-24.994678;31.53493;-25.460457;3;50
31.915333;-25.115829;31.53493;-25.460457;3;53
31.89404;-25.362301;31.779859;-24.389864;3;54
31.591958;-24.994678;31.482268;-24.979422;3;50
31.89404;-25.362301;31.591958;-24.994678;3;63
